t_ms,qdot_cmd,qdot_simu
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0.05,0
7,0.05,0
8,0.05,0.0124633
9,0.05,0.0248212
10,0.05,0.0372845
11,0.05,0.0437172
12,0.05,0.0468638
13,0.05,0.0483537
14,0.05,0.0492476
15,0.05,0.0496417
16,0.05,0.0498259
17,0.05,0.0499226
18,0.05,0.0499577
19,0.05,0.0498791
20,0.05,0.0499752
21,0.05,0.0500711
22,0.05,0.0499269
23,0.05,0.0499926
24,0.05,0.0499755
25,0.05,0.0499273
26,0.05,0.0499753
27,0.05,0.0500233
28,0.05,0.0500713
29,0.05,0.0499749
30,0.05,0.0500229
31,0.05,0.0499274
32,0.05,0.0499931
33,0.05,0.0499272
34,0.05,0.0499751
35,0.05,0.0499575
36,0.05,0.0501372
37,0.05,0.0499268
38,0.05,0.0499749
39,0.05,0.0499275
40,0.05,0.0499928
41,0.05,0.0501198
42,0.05,0.0499093
43,0.05,0.0499927
44,0.05,0.049927
45,0.05,0.0501193
